Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0,0,0,0,0,0,1,0
0,2,0,0,0,0,1,1
0.000285,2,0,0,0,0,2,1
2.15339,1,1,0,1,0,2,1
2.981359,1,1,0,1,0,3,1
2.981359,3,1,0,1,0,3,2
3.050084,3,1,0,1,0,4,2
3.050084,5,1,0,1,0,4,3
3.058619,5,1,0,1,0,5,3
3.058619,7,1,0,1,0,5,4
3.769294,6,2,0,2,0,5,4
6.605601,6,2,0,2,0,6,4
6.607678,8,2,0,2,0,6,5
6.856936,8,2,0,2,0,7,5
6.856936,10,2,0,2,0,7,6
6.866312,10,2,0,2,0,8,6
6.866312,12,2,0,2,0,8,7
7.492373,11,3,0,3,0,8,7
8.09718,11,3,0,3,0,9,7
8.097182,13,3,0,3,0,9,8
8.102265,13,3,0,3,0,10,8
8.106317,15,3,0,3,0,10,9
8.301615,15,3,0,3,0,11,9
8.301615,17,3,0,3,0,11,10
8.303405,17,3,0,3,0,12,10
8.303965,19,3,0,3,0,12,11
10.594838,18,4,0,3,1,12,11
16.682583,17,5,0,4,1,12,11
40.38442,17,5,0,4,1,13,11
40.384421,19,5,0,4,1,13,12
40.467144,19,5,0,4,1,14,12
40.540037,21,5,0,4,1,14,13
42.024456,21,5,0,4,1,15,13
42.024456,23,5,0,4,1,15,14
42.510192,23,5,0,4,1,16,14
134.263003,23,5,0,4,1,17,14
134.263003,25,5,0,4,1,17,15
134.355207,25,5,0,4,1,18,15
134.384348,25,5,0,4,1,19,15
134.384348,27,5,0,4,1,19,16
134.38607,29,5,0,4,1,19,17
134.422993,29,5,0,4,1,20,17
134.422993,31,5,0,4,1,20,18
138.096523,30,6,0,5,1,20,18
140.720288,30,6,0,5,1,21,18
140.720288,32,6,0,5,1,21,19
140.746455,32,6,0,5,1,22,19
140.746455,34,6,0,5,1,22,20
147.116246,33,7,0,5,2,22,20
227.890075,32,8,0,5,3,22,20
325.477524,30,8,1,5,3,22,20
492.253444,30,8,1,5,3,23,20
492.253444,32,8,1,5,3,23,21
492.269581,32,8,1,5,3,24,21
502.834282,32,8,1,5,3,25,21
502.834309,34,8,1,5,3,25,22
502.859983,33,9,1,5,4,25,22
502.882702,33,9,1,5,4,26,22
502.882702,35,9,1,5,4,26,23
502.891923,35,9,1,5,4,27,23
502.891923,37,9,1,5,4,27,24
502.928605,37,9,1,5,4,28,24
502.928605,39,9,1,5,4,28,25
503.021416,39,9,1,5,4,29,25
503.030893,41,9,1,5,4,29,26
503.581864,40,10,1,5,5,29,26
504.013371,39,11,1,6,5,29,26
505.921862,38,12,1,7,5,29,26
605.103021,38,12,1,7,5,30,26
605.103021,40,12,1,7,5,30,27
605.887016,39,13,1,7,6,30,27
608.15583,39,13,1,7,6,31,27
608.15583,41,13,1,7,6,31,28
608.234774,41,13,1,7,6,32,28
608.234774,43,13,1,7,6,32,29
608.24425,43,13,1,7,6,33,29
608.24425,45,13,1,7,6,33,30
608.268814,45,13,1,7,6,34,30
608.268814,47,13,1,7,6,34,31
608.284932,47,13,1,7,6,35,31
608.286047,49,13,1,7,6,35,32
608.300624,49,13,1,7,6,36,32
608.373884,48,14,1,8,6,36,32
608.470848,50,14,1,8,6,36,33
608.499783,49,15,1,8,7,36,33
608.643223,48,16,1,8,8,36,33
707.840148,48,16,1,8,8,37,33
707.840148,50,16,1,8,8,37,34
707.895676,50,16,1,8,8,38,34
707.901198,52,16,1,8,8,38,35
707.96909,51,17,1,8,9,38,35
709.698177,51,17,1,8,9,39,35
709.698177,53,17,1,8,9,39,36
709.776871,53,17,1,8,9,40,36
709.776871,55,17,1,8,9,40,37
709.780095,55,17,1,8,9,41,37
709.780217,57,17,1,8,9,41,38
709.801771,57,17,1,8,9,42,38
709.96827,59,17,1,8,9,42,39
709.981314,59,17,1,8,9,43,39
709.983474,61,17,1,8,9,43,40
710.174146,60,18,1,8,10,43,40
721.165905,60,18,1,8,10,44,40
721.165905,62,18,1,8,10,44,41
721.311926,62,18,1,8,10,45,41
721.311926,64,18,1,8,10,45,42
731.735414,64,18,1,8,10,46,42
731.735414,66,18,1,8,10,46,43
731.813056,66,18,1,8,10,47,43
731.813056,68,18,1,8,10,47,44
732.44173,67,19,1,8,11,47,44
736.122238,67,19,1,8,11,48,44
736.12224,69,19,1,8,11,48,45
740.346481,69,19,1,8,11,49,45
740.346481,71,19,1,8,11,49,46
741.169831,71,19,1,8,11,50,46
741.169831,73,19,1,8,11,50,47
741.551545,72,20,1,9,11,50,47
743.287222,72,20,1,9,11,51,47
743.287232,74,20,1,9,11,51,48
743.357407,74,20,1,9,11,52,48
743.357407,76,20,1,9,11,52,49
743.462899,76,20,1,9,11,53,49
743.470853,78,20,1,9,11,53,50
743.483812,77,21,1,9,12,53,50
743.854214,76,22,1,10,12,53,50
747.674297,76,22,1,10,12,54,50
747.674297,78,22,1,10,12,54,51
747.722188,78,22,1,10,12,55,51
747.722188,80,22,1,10,12,55,52
747.777653,80,22,1,10,12,56,52
747.777653,82,22,1,10,12,56,53
748.369634,82,22,1,10,12,57,53
748.46324,84,22,1,10,12,57,54
748.578621,83,23,1,10,13,57,54
750.926321,82,24,1,11,13,57,54
756.57398,82,24,1,11,13,58,54
756.57398,84,24,1,11,13,58,55
757.39363,84,24,1,11,13,59,55
757.39363,86,24,1,11,13,59,56
757.569821,86,24,1,11,13,60,56
757.569898,88,24,1,11,13,60,57
760.581019,88,24,1,11,13,61,57
760.599696,90,24,1,11,13,61,58
760.669638,90,24,1,11,13,62,58
760.672788,92,24,1,11,13,62,59
760.710653,92,24,1,11,13,63,59
760.710653,94,24,1,11,13,63,60
761.075819,93,25,1,12,13,63,60
761.883777,92,26,1,12,14,63,60
761.925273,92,26,1,12,14,64,60
761.925273,94,26,1,12,14,64,61
763.350529,93,27,1,13,14,64,61
770.24989,93,27,1,13,14,65,61
770.249902,95,27,1,13,14,65,62
776.043685,95,27,1,13,14,66,62
776.043779,97,27,1,13,14,66,63
776.134199,97,27,1,13,14,67,63
776.134199,99,27,1,13,14,67,64
776.183652,98,28,1,14,14,67,64
776.265335,98,28,1,14,14,68,64
776.283387,98,28,1,14,14,69,64
776.284717,100,28,1,14,14,69,65
776.438749,100,28,1,14,14,70,65
777.141878,102,28,1,14,14,70,66
